"Ano/mês";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2012/Mai";"111387";"66598";"306009";"8348";"477553";"57601";"95930";"452433";"190644";"493908";"160800";"172538";"430208";"166704";"108072";"748587";"1259549";"211581";"688870";"2905845";"615755";"484744";"810393";"190029";"175973";"366348";"203296";"11959703"
"2012/Jun";"103635";"73392";"278121";"39083";"523890";"53605";"88132";"452758";"175551";"496322";"160979";"171985";"492012";"167651";"109186";"765228";"1189699";"227847";"793110";"2730361";"721056";"530718";"779681";"180393";"188353";"373284";"167340";"12033372"
"2012/Jul";"96337";"56920";"245466";"38645";"461660";"47393";"75393";"382017";"153946";"405802";"160943";"175207";"464307";"166144";"107856";"713117";"1005867";"200562";"717727";"2420873";"727383";"411127";"556967";"174676";"191899";"340974";"161982";"10661190"
"2012/Ago";"126240";"66425";"322960";"42226";"590240";"68821";"109227";"534746";"180479";"461879";"205492";"183092";"570493";"216542";"120480";"815343";"1235316";"219417";"806936";"2666495";"838796";"415750";"622867";"194610";"173521";"456065";"180216";"12424674"
"2012/Set";"79909";"45553";"233975";"36438";"457164";"37422";"68679";"388628";"148352";"337988";"141224";"144719";"442891";"163932";"97974";"745318";"795603";"148994";"558723";"1830957";"480531";"259427";"345232";"140535";"182772";"275783";"70597";"8659320"
"2012/Out";"81576";"52010";"240606";"25741";"389695";"38484";"76897";"378927";"143424";"352912";"139613";"156203";"394657";"159094";"95883";"646764";"811313";"156411";"625462";"1944156";"483875";"272624";"376086";"134446";"147714";"281500";"143785";"8749858"
"2012/Nov";"80310";"45874";"203737";"26474";"410086";"35114";"69941";"348416";"136997";"383465";"127017";"142356";"400821";"146247";"90910";"604763";"764302";"155409";"558513";"1810348";"436520";"265903";"358721";"130811";"142710";"269750";"123211";"8268726"
"2012/Dez";"68654";"27092";"198750";"29553";"341764";"17704";"56974";"287835";"122797";"286950";"105993";"132340";"365917";"114029";"62519";"529335";"676506";"128241";"534905";"1540107";"356229";"188643";"324781";"99953";"128559";"221358";"118793";"7066281"
"2013/Jan";"80795";"42493";"191925";"31861";"360309";"39010";"72478";"334187";"127761";"351001";"119734";"146295";"343923";"140749";"89898";"504457";"753904";"148516";"572959";"1793968";"453368";"274711";"347193";"135486";"121617";"286420";"143506";"8008524"
"2013/Fev";"67473";"37570";"205359";"34102";"353711";"32157";"64740";"315052";"127673";"302095";"109859";"136711";"360438";"126735";"83207";"529088";"721006";"125573";"509565";"2075346";"393866";"237203";"330706";"111829";"139069";"264425";"127078";"7921636"
"2013/Mar";"73242";"42814";"251479";"31632";"375102";"33867";"69029";"340436";"137583";"318351";"127254";"140130";"383277";"139006";"88519";"590328";"788151";"129991";"550368";"1667806";"414815";"243209";"351944";"121227";"145343";"282247";"136042";"7973192"
"2013/Abr";"97942";"64467";"248675";"31958";"447000";"43306";"99545";"452989";"150548";"419559";"151793";"158626";"411742";"181956";"99513";"680636";"1316933";"191577";"590944";"2313898";"601313";"389978";"488157";"175642";"154827";"379864";"187778";"10531166"
"2013/Mai";"117842";"113081";"274682";"58061";"712533";"58700";"79233";"460410";"264318";"613703";"193679";"317261";"694591";"273832";"120220";"937986";"1262975";"205809";"1474786";"2404392";"773736";"369277";"1060693";"192287";"272015";"517389";"217090";"14040581"
"2013/Jun";"176519";"144595";"585699";"88181";"1130255";"106069";"158177";"924325";"428511";"1076017";"399542";"502744";"1275620";"367915";"304622";"1535531";"2762896";"394366";"1566601";"4843116";"1348133";"789455";"1471896";"329573";"364644";"948564";"253586";"24277152"
"2013/Jul";"317716";"60248";"628242";"76660";"955050";"110483";"232919";"1109853";"350450";"1152716";"438274";"422445";"1138633";"401640";"258148";"2010621";"2478969";"599480";"2448415";"6993115";"1544120";"1131764";"1584134";"432397";"494574";"863916";"521551";"28756533"
