"Ano/mês";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2017/Ago";"75247";"37563";"212291";"46318";"330252";"39028";"75547";"301148";"126557";"498209";"110134";"154615";"386123";"169863";"87610";"534903";"777025";"186496";"831295";"1784813";"455089";"259585";"410541";"137457";"195549";"272940";"102731";"8598929"
"2017/Set";"100823";"71319";"354473";"38206";"536890";"80686";"124066";"595594";"221389";"675639";"219945";"289340";"651838";"271869";"190029";"942995";"1300804";"265599";"1082316";"3069372";"671563";"439619";"598841";"199370";"239789";"486434";"187748";"13906556"
"2017/Out";"77923";"37047";"195305";"47603";"311884";"36299";"71855";"305259";"123980";"433931";"100403";"136203";"383071";"160731";"90343";"507644";"722015";"160740";"722764";"2356930";"386973";"248757";"341111";"108459";"152094";"234977";"106918";"8561219"
"2017/Nov";"65601";"35817";"193819";"34704";"271948";"34815";"61703";"269843";"112591";"410142";"97808";"129681";"354247";"149259";"80554";"457917";"655257";"153234";"628466";"2195140";"396730";"237344";"329653";"112436";"142485";"218773";"92611";"7922578"
"2017/Dez";"53171";"30462";"150759";"24123";"206487";"27279";"47569";"176817";"78802";"319227";"84398";"95504";"299447";"109438";"64543";"337040";"550275";"412835";"586294";"2173120";"303297";"174296";"277719";"91593";"116308";"173116";"89808";"7053727"
"2018/Jan";"91458";"39168";"237298";"43118";"356100";"40588";"83475";"368116";"154173";"493422";"117749";"152268";"415863";"161721";"101967";"725879";"1786511";"176905";"2737960";"4813977";"539350";"331577";"439847";"161625";"186602";"336217";"163560";"15256494"
"2018/Fev";"66813";"33678";"182194";"45397";"256634";"32802";"58495";"277873";"108827";"348896";"94124";"119749";"340578";"125681";"81977";"481329";"1149941";"131112";"786633";"1854712";"402712";"265955";"336067";"119911";"143535";"217479";"102791";"8165895"
"2018/Mar";"82125";"38992";"288743";"107079";"311319";"37047";"68426";"330852";"115792";"391484";"115842";"161706";"361216";"161213";"85538";"487051";"972457";"165681";"738968";"1964611";"424774";"271575";"368871";"125915";"160351";"274571";"113654";"8725853"
"2018/Abr";"79971";"40530";"334576";"96022";"299916";"35738";"72785";"333658";"123023";"464294";"119497";"158160";"391477";"164629";"91294";"507777";"953230";"166344";"693943";"1807622";"473445";"314792";"385514";"128756";"163320";"278204";"119710";"8798227"
"2018/Mai";"87536";"39340";"284171";"72922";"279049";"33486";"67310";"303693";"118153";"430259";"111842";"144548";"382189";"173917";"88229";"490120";"986900";"190123";"722558";"2049883";"452080";"358236";"356740";"141505";"165790";"247057";"114728";"8892364"
